index,case,input,execution_mode,returncode,success,elapsed_seconds,expected_line_count,generated_line_count,line_count_equal,canonical_text_identical,canonical_diff_lines,structure_diff_lines,metric_values_compared_on_diff_lines,metric_mismatch_count,metric_max_abs,metric_max_rel,classification,notes
19,flatelev,flatelev.inp,isolated,0,True,0.891,3311,3311,True,False,4,4,0,0,0,0,representation-or-tie-equivalent,Only +0.0 versus -0.0 formatting differs in echoed meteorology.
20,hrdow,hrdow.inp,isolated,0,True,5.687,4969,4969,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
21,in_urban,in_urban.inp,isolated,0,True,0.125,1664,1664,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
22,lovett,lovett.inp,isolated,0,True,0.737,1478,1478,True,False,4,4,0,0,0,0,representation-or-tie-equivalent,Only +0.0 versus -0.0 formatting differs in echoed meteorology.
23,mcr,mcr.inp,isolated,0,True,3.394,1679,1679,True,False,3,3,0,0,0,0,representation-or-tie-equivalent,Only +0.0 versus -0.0 formatting differs in echoed meteorology.
24,multurb,multurb.inp,isolated,0,True,0.32,3237,3237,True,False,91,65,182,0,0,0,representation-or-tie-equivalent,Reported values match; equal-valued extrema are associated with a different tied receptor ordering.
25,no2_1yrAK_1tier,no2_1yrAK_1tier.inp,isolated,0,True,9.602,7153,7153,True,False,29,0,71,28,0.00027,1.08744285035e-06,minor-floating-point-drift,Extracted output values differ only at very small compiler-level floating-point scale. The report also swaps two equal-valued receptor ties.
26,no2_1yrAK_arm2,no2_1yrAK_arm2.inp,isolated,0,True,9.576,7155,7155,True,False,26,0,64,25,0.000130000000013,9.56260409925e-07,minor-floating-point-drift,Extracted output values differ only at very small compiler-level floating-point scale. The report also swaps two equal-valued receptor ties.
27,no2_1yrAK_arm2min,no2_1yrAK_arm2min.inp,isolated,0,True,9.437,7157,7157,True,False,22,0,54,23,4.00000000127e-05,9.56260409925e-07,minor-floating-point-drift,Extracted output values differ only at very small compiler-level floating-point scale.
28,no2_1yrAK_grsm,no2_1yrAK_grsm.inp,isolated,0,True,10.725,7171,7171,True,False,21,0,49,21,3.00000000024e-05,7.39053144878e-07,minor-floating-point-drift,Extracted output values differ only at very small compiler-level floating-point scale.
29,no2_1yrAK_olm,no2_1yrAK_olm.inp,isolated,0,True,9.22,7171,7171,True,False,21,0,51,23,2.99999999953e-05,6.16204071976e-07,minor-floating-point-drift,Extracted output values differ only at very small compiler-level floating-point scale.
30,no2_1yrAK_olmgrp,no2_1yrAK_olmgrp.inp,isolated,0,True,9.571,7187,7187,True,False,19,0,49,22,3.99999999985e-05,1.16834031433e-06,minor-floating-point-drift,Extracted output values differ only at very small compiler-level floating-point scale.
31,no2_1yrAK_pvmrm,no2_1yrAK_pvmrm.inp,isolated,0,True,11.368,7171,7171,True,False,18,0,48,19,8.00000000254e-05,1.87548557487e-06,minor-floating-point-drift,Extracted output values differ only at very small compiler-level floating-point scale.
32,olm,olm.inp,isolated,0,True,1.084,752,752,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
33,olmgrp,olmgrp.inp,isolated,0,True,1.437,774,774,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
34,openpits,openpits.inp,isolated,0,True,0.041,1329,1329,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
35,psdcred,psdcred.inp,isolated,0,True,11.45,947,947,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
36,pvmrm,pvmrm.inp,isolated,0,True,2.784,512,512,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
37,scimtest,scimtest.inp,isolated,0,True,5.161,734,734,True,False,4,0,8,4,0.00162,4.00374476674e-07,minor-floating-point-drift,Extracted output values differ only at very small compiler-level floating-point scale.
38,surfcoal,surfcoal.inp,isolated,0,True,25.637,5868,5868,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
39,Test1_Base_cart_3cond_SNC,Test1_Base_cart_3cond_SNC.inp,isolated,0,True,0.116,669,669,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
40,Test20_Urban_cart_3cond_SNC,Test20_Urban_cart_3cond_SNC.inp,isolated,0,True,0.119,687,687,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
41,Test3_Base_cart_3cond_SNC_bar,Test3_Base_cart_3cond_SNC_bar.inp,isolated,0,True,0.18,683,683,True,False,1,1,0,0,0,0,representation-or-tie-equivalent,Numeric results match; one diagnostic line differs in residual NUL-buffer text around EVENT.TMP.
42,Test4_Base_cart_3cond_SNC_dep,Test4_Base_cart_3cond_SNC_dep.inp,isolated,0,True,0.105,683,683,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
43,testgas,testgas.inp,isolated,0,True,0.017,1414,1414,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
44,testgas2,testgas2.inp,isolated,0,True,3.331,6307,6307,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
45,testpart,testpart.inp,isolated,0,True,0.011,1411,1411,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
46,testpm10,testpm10.inp,isolated,0,True,20.788,1098,1098,True,False,43,0,79,50,0.01888,0.000221240986158,moderate-floating-point-drift,Small but measurable compiler/platform drift; acceptable only under an explicitly documented tolerance.
47,testpm10_1986,testpm10_1986.inp,multiyear-chain,0,True,4.292,494,494,True,False,5,0,7,7,1.00000000001e-05,7.19802486203e-06,minor-floating-point-drift,Extracted output values differ only at very small compiler-level floating-point scale.
48,testpm10_1987,testpm10_1987.inp,multiyear-chain,0,True,4.206,496,496,True,False,5,0,8,5,0.01888,0.000221240986158,moderate-floating-point-drift,Small but measurable compiler/platform drift; acceptable only under an explicitly documented tolerance.
49,testpm10_1988,testpm10_1988.inp,multiyear-chain,0,True,4.71,496,496,True,False,8,0,13,10,0.01888,0.000221240986158,moderate-floating-point-drift,Small but measurable compiler/platform drift; acceptable only under an explicitly documented tolerance.
50,testpm10_1989,testpm10_1989.inp,multiyear-chain,0,True,4.952,496,496,True,False,5,0,8,5,0.01888,0.000221240986158,moderate-floating-point-drift,Small but measurable compiler/platform drift; acceptable only under an explicitly documented tolerance.
51,testpm10_1990,testpm10_1990.inp,multiyear-chain,0,True,5.332,496,496,True,False,5,0,8,5,0.01888,0.000221240986158,moderate-floating-point-drift,Small but measurable compiler/platform drift; acceptable only under an explicitly documented tolerance.
52,testpm25,testpm25.inp,isolated,0,True,18.099,899,899,True,False,42,0,77,49,0.00105,3.00741542718e-05,moderate-floating-point-drift,Small but measurable compiler/platform drift; acceptable only under an explicitly documented tolerance.
53,testprt2,testprt2.inp,isolated,0,True,3.481,6310,6310,True,True,0,0,0,0,0,0,canonical-exact,Canonical text matches after neutralizing run date/time and output-path prefix.
